Gene	Origen
MAP2K3	Reactome
MAP2K4	Reactome
MAP2K6	Reactome
MAP2K7	Reactome
MAP3K5	Reactome
MAP4K4	Reactome
MAPK1	Reactome
MAPK10	Reactome
MAPK11	Reactome
MAPK14	Reactome
MAPK3	Reactome
MAPK7	Reactome
MAPK8	Reactome
MAPK9	Reactome
MAPKAPK2	Reactome
MAPKAPK3	Reactome
MAPKAPK5	Reactome
MDM2	Reactome
MINK1	Reactome
MOV10	Reactome
MRE11A	Reactome
NBN	Reactome
NFKB1	Reactome
PHC1	Reactome
PHC2	Reactome
PHC3	Reactome
POT1	Reactome
RAD50	Reactome
RB1	Reactome
RBBP4	Reactome
RBBP7	Reactome
RELA	Reactome
RING1	Reactome
RNF2	Reactome
RPS27A	Reactome
RPS6KA1	Reactome
RPS6KA2	Reactome
RPS6KA3	Reactome
SCMH1	Reactome
SP1	Reactome
STAT3	Reactome
SUZ12	Reactome
TERF1	Reactome
TERF2	Reactome
TERF2IP	Reactome
TFDP1	Reactome
TINF2	Reactome
TNIK	Reactome
TNRC6A	Reactome
TNRC6B	Reactome
TNRC6C	Reactome
TP53	Reactome
TXN	Reactome
UBA52	Reactome
UBB	Reactome
UBC	Reactome
UBE2C	Reactome
UBE2D1	Reactome
UBE2E1	Reactome
UBN1	ReactomeGene	Origen
RFC5	Reactome
APEX1	Reactome
DKC1	Reactome
LIG1	Reactome
HIST1H2AJ	Reactome
HIST1H2AD	Reactome
HIST1H2AC	Reactome
HIST1H2AB	Reactome
